species,park,observations
Corvus brachyrhynchos,Yellowstone National Park,235
Crataegus douglasii var. douglasii,Great Smoky Mountains National Park,57
Crataegus douglasii var. douglasii,Yosemite National Park,144
Crataegus douglasii var. douglasii,Bryce National Park,82
Crataegus douglasii var. douglasii,Yellowstone National Park,282
Viola purpurea ssp. integrifolia,Great Smoky Mountains National Park,87
Viola purpurea ssp. integrifolia,Yosemite National Park,148
Viola purpurea ssp. integrifolia,Bryce National Park,78
Viola purpurea ssp. integrifolia,Yellowstone National Park,246
Carex normalis,Great Smoky Mountains National Park,88
Carex normalis,Yosemite National Park,153
Carex normalis,Bryce National Park,101
Carex normalis,Yellowstone National Park,244
Festuca brachyphylla,Great Smoky Mountains National Park,66
Festuca brachyphylla,Yosemite National Park,133
Festuca brachyphylla,Bryce National Park,121
Festuca brachyphylla,Yellowstone National Park,256
Rubus odoratus,Great Smoky Mountains National Park,117
Rubus odoratus,Yosemite National Park,169
Rubus odoratus,Bryce National Park,76
Rubus odoratus,Yellowstone National Park,240
Salix tweedyi,Great Smoky Mountains National Park,66
Salix tweedyi,Yosemite National Park,129
Salix tweedyi,Bryce National Park,114
Salix tweedyi,Yellowstone National Park,223
Silene virginica,Great Smoky Mountains National Park,66
Silene virginica,Yosemite National Park,159
Silene virginica,Bryce National Park,89
Silene virginica,Yellowstone National Park,243
Oenothera speciosa,Great Smoky Mountains National Park,48
Oenothera speciosa,Yosemite National Park,184
Oenothera speciosa,Bryce National Park,64
Oenothera speciosa,Yellowstone National Park,247
Microthlaspi perfoliatum,Great Smoky Mountains National Park,66
Microthlaspi perfoliatum,Yosemite National Park,127
Microthlaspi perfoliatum,Bryce National Park,106
Microthlaspi perfoliatum,Yellowstone National Park,256
Carex mariposana,Great Smoky Mountains National Park,86
Carex mariposana,Yosemite National Park,175
Carex mariposana,Bryce National Park,85
Carex mariposana,Yellowstone National Park,249
Allium tribracteatum,Great Smoky Mountains National Park,66
Allium tribracteatum,Yosemite National Park,135
Allium tribracteatum,Bryce National Park,125
Allium tribracteatum,Yellowstone National Park,230
Cryptantha watsonii,Great Smoky Mountains National Park,76
Cryptantha watsonii,Yosemite National Park,182
Cryptantha watsonii,Bryce National Park,120
Cryptantha watsonii,Yellowstone National Park,230
Pseudotriton ruber schencki,Great Smoky Mountains National Park,89
Pseudotriton ruber schencki,Yosemite National Park,134
Pseudotriton ruber schencki,Bryce National Park,93
Pseudotriton ruber schencki,Yellowstone National Park,282
Hypnum cupressiforme,Great Smoky Mountains National Park,48
Hypnum cupressiforme,Yosemite National Park,174
Hypnum cupressiforme,Bryce National Park,106
Hypnum cupressiforme,Yellowstone National Park,228
Cirsium eatonii,Great Smoky Mountains National Park,48
Cirsium eatonii,Yosemite National Park,170
Cirsium eatonii,Bryce National Park,97
Cirsium eatonii,Yellowstone National Park,262
Symphyotrichum frondosum,Great Smoky Mountains National Park,90
Symphyotrichum frondosum,Yosemite National Park,139
Symphyotrichum frondosum,Bryce National Park,101
Symphyotrichum frondosum,Yellowstone National Park,239
Melica mutica,Great Smoky Mountains National Park,73
Melica mutica,Yosemite National Park,135
Melica mutica,Bryce National Park,102
Melica mutica,Yellowstone National Park,267
Penstemon attenuatus var. pseudoprocerus,Great Smoky Mountains National Park,66
Penstemon attenuatus var. pseudoprocerus,Yosemite National Park,125
Penstemon attenuatus var. pseudoprocerus,Bryce National Park,84
Penstemon attenuatus var. pseudoprocerus,Yellowstone National Park,287
Torreya californica,Great Smoky Mountains National Park,86
Torreya californica,Yosemite National Park,123
Torreya californica,Bryce National Park,91
Torreya californica,Yellowstone National Park,240
Lipocarpha micrantha,Great Smoky Mountains National Park,66
Lipocarpha micrantha,Yosemite National Park,222
Lipocarpha micrantha,Bryce National Park,95
Lipocarpha micrantha,Yellowstone National Park,242
Marah horridus,Great Smoky Mountains National Park,71
Marah horridus,Yosemite National Park,129
Marah horridus,Bryce National Park,81
Marah horridus,Yellowstone National Park,229
Pedicularis contorta var. contorta,Great Smoky Mountains National Park,84
Pedicularis contorta var. contorta,Yosemite National Park,152
Pedicularis contorta var. contorta,Bryce National Park,95
Pedicularis contorta var. contorta,Yellowstone National Park,247
Lycopodium obscurum,Great Smoky Mountains National Park,64
Lycopodium obscurum,Yosemite National Park,174
Lycopodium obscurum,Bryce National Park,102
Lycopodium obscurum,Yellowstone National Park,236
Phoradendron densum,Great Smoky Mountains National Park,88
Phoradendron densum,Yosemite National Park,150
Phoradendron densum,Bryce National Park,117
Phoradendron densum,Yellowstone National Park,246
Sidalcea glaucescens,Great Smoky Mountains National Park,67
Sidalcea glaucescens,Yosemite National Park,156
Sidalcea glaucescens,Bryce National Park,66
Sidalcea glaucescens,Yellowstone National Park,231
Hibiscus moscheutos ssp. moscheutos,Great Smoky Mountains National Park,77
Hibiscus moscheutos ssp. moscheutos,Yosemite National Park,181
Hibiscus moscheutos ssp. moscheutos,Bryce National Park,101
Hibiscus moscheutos ssp. moscheutos,Yellowstone National Park,260
Allophyllum integrifolium,Great Smoky Mountains National Park,89
Allophyllum integrifolium,Yosemite National Park,134
Allophyllum integrifolium,Bryce National Park,114
Allophyllum integrifolium,Yellowstone National Park,266
Hygrohypnum closteri,Great Smoky Mountains National Park,59
Hygrohypnum closteri,Yosemite National Park,132
Hygrohypnum closteri,Bryce National Park,79
Hygrohypnum closteri,Yellowstone National Park,280
Pyrola asarifolia,Great Smoky Mountains National Park,103
Pyrola asarifolia,Yosemite National Park,140
Pyrola asarifolia,Bryce National Park,74
Pyrola asarifolia,Yellowstone National Park,239
Aristida purpurea var. longiseta,Great Smoky Mountains National Park,77
Aristida purpurea var. longiseta,Yosemite National Park,159
Aristida purpurea var. longiseta,Bryce National Park,127
Aristida purpurea var. longiseta,Yellowstone National Park,284
Lomatium torreyi,Great Smoky Mountains National Park,61
Lomatium torreyi,Yosemite National Park,135
Lomatium torreyi,Bryce National Park,130
Lomatium torreyi,Yellowstone National Park,265
Collinsia linearis,Great Smoky Mountains National Park,54
Collinsia linearis,Yosemite National Park,130
Collinsia linearis,Bryce National Park,103
Collinsia linearis,Yellowstone National Park,281
Corylus cornuta,Great Smoky Mountains National Park,92
Corylus cornuta,Yosemite National Park,156
Corylus cornuta,Bryce National Park,106
Corylus cornuta,Yellowstone National Park,247
Vinca minor,Great Smoky Mountains National Park,74
Vinca minor,Yosemite National Park,167
Vinca minor,Bryce National Park,96
Vinca minor,Yellowstone National Park,197
Bromus pubescens,Great Smoky Mountains National Park,91
Bromus pubescens,Yosemite National Park,183
Bromus pubescens,Bryce National Park,100
Bromus pubescens,Yellowstone National Park,234
Isoetes bolanderi,Great Smoky Mountains National Park,72
Isoetes bolanderi,Yosemite National Park,131
Isoetes bolanderi,Bryce National Park,113
Isoetes bolanderi,Yellowstone National Park,240
Recurvirostra americana,Great Smoky Mountains National Park,59
Recurvirostra americana,Yosemite National Park,130
Recurvirostra americana,Bryce National Park,94
Recurvirostra americana,Yellowstone National Park,252
Ranunculus eschscholtzii var. eschscholtzii,Great Smoky Mountains National Park,90
Ranunculus eschscholtzii var. eschscholtzii,Yosemite National Park,129
Ranunculus eschscholtzii var. eschscholtzii,Bryce National Park,82
Ranunculus eschscholtzii var. eschscholtzii,Yellowstone National Park,268
Eriogonum lobbii var. lobbii,Great Smoky Mountains National Park,89
Eriogonum lobbii var. lobbii,Yosemite National Park,128
Eriogonum lobbii var. lobbii,Bryce National Park,85
Eriogonum lobbii var. lobbii,Yellowstone National Park,274
Eleocharis acicularis,Great Smoky Mountains National Park,171
Eleocharis acicularis,Yosemite National Park,357
Eleocharis acicularis,Bryce National Park,197
Eleocharis acicularis,Yellowstone National Park,501
Urocyon cinereoargenteus,Great Smoky Mountains National Park,162
Urocyon cinereoargenteus,Yosemite National Park,336
Urocyon cinereoargenteus,Bryce National Park,247
Urocyon cinereoargenteus,Yellowstone National Park,454
Salix arctica,Great Smoky Mountains National Park,84
Salix arctica,Yosemite National Park,139
Salix arctica,Bryce National Park,102
Salix arctica,Yellowstone National Park,240
Huperzia selago var. densa,Great Smoky Mountains National Park,82
Huperzia selago var. densa,Yosemite National Park,118
Huperzia selago var. densa,Bryce National Park,93
Huperzia selago var. densa,Yellowstone National Park,227
Tamias minimus,Great Smoky Mountains National Park,78
Tamias minimus,Yosemite National Park,149
Tamias minimus,Bryce National Park,89
Tamias minimus,Yellowstone National Park,257
Myotis ciliolabrum,Great Smoky Mountains National Park,158
Myotis ciliolabrum,Yosemite National Park,258
Myotis ciliolabrum,Bryce National Park,201
Myotis ciliolabrum,Yellowstone National Park,508
Draba praealta,Great Smoky Mountains National Park,92
Draba praealta,Yosemite National Park,101
Draba praealta,Bryce National Park,97
Draba praealta,Yellowstone National Park,272
Valerianella radiata,Great Smoky Mountains National Park,25
Valerianella radiata,Yosemite National Park,156
Valerianella radiata,Bryce National Park,176
Valerianella radiata,Yellowstone National Park,267
Sterna paradisaea,Great Smoky Mountains National Park,72
Sterna paradisaea,Yosemite National Park,149
Sterna paradisaea,Bryce National Park,67
Sterna paradisaea,Yellowstone National Park,263
Polygonum convolvulus,Great Smoky Mountains National Park,137
Polygonum convolvulus,Yosemite National Park,257
Polygonum convolvulus,Bryce National Park,201
Polygonum convolvulus,Yellowstone National Park,530
Ceryle torquata,Great Smoky Mountains National Park,73
Ceryle torquata,Yosemite National Park,134
Ceryle torquata,Bryce National Park,86
Ceryle torquata,Yellowstone National Park,223
Sorex longirostris,Great Smoky Mountains National Park,42
Sorex longirostris,Yosemite National Park,151
Sorex longirostris,Bryce National Park,77
Sorex longirostris,Yellowstone National Park,248
Myotis thysanodes,Great Smoky Mountains National Park,75
Myotis thysanodes,Yosemite National Park,116
Myotis thysanodes,Bryce National Park,109
Myotis thysanodes,Yellowstone National Park,215
Calopogon tuberosus var. tuberosus,Great Smoky Mountains National Park,64
Calopogon tuberosus var. tuberosus,Yosemite National Park,184
Calopogon tuberosus var. tuberosus,Bryce National Park,123
Calopogon tuberosus var. tuberosus,Yellowstone National Park,240
Xema sabini,Great Smoky Mountains National Park,67
Xema sabini,Yosemite National Park,154
Xema sabini,Bryce National Park,100
Xema sabini,Yellowstone National Park,287
Dichanthelium meridionale,Great Smoky Mountains National Park,101
Dichanthelium meridionale,Yosemite National Park,144
Dichanthelium meridionale,Bryce National Park,100
Dichanthelium meridionale,Yellowstone National Park,226
Buteo swainsoni,Great Smoky Mountains National Park,59
Buteo swainsoni,Yosemite National Park,137
Buteo swainsoni,Bryce National Park,129
Buteo swainsoni,Yellowstone National Park,261
Tachycineta bicolor,Great Smoky Mountains National Park,69
Tachycineta bicolor,Yosemite National Park,125
Tachycineta bicolor,Bryce National Park,101
Tachycineta bicolor,Yellowstone National Park,190
Tamias amoenus,Great Smoky Mountains National Park,102
Tamias amoenus,Yosemite National Park,152
Tamias amoenus,Bryce National Park,110
Tamias amoenus,Yellowstone National Park,251
Galium lanceolatum,Great Smoky Mountains National Park,112
Galium lanceolatum,Yosemite National Park,149
Galium lanceolatum,Bryce National Park,76
Galium lanceolatum,Yellowstone National Park,257
Heuchera micrantha,Great Smoky Mountains National Park,67
Heuchera micrantha,Yosemite National Park,146
Heuchera micrantha,Bryce National Park,92
Heuchera micrantha,Yellowstone National Park,225
Pedicularis canadensis,Great Smoky Mountains National Park,92
Pedicularis canadensis,Yosemite National Park,166
Pedicularis canadensis,Bryce National Park,101
Pedicularis canadensis,Yellowstone National Park,234
Salix rotundifolia var. dodgeana,Great Smoky Mountains National Park,111
Salix rotundifolia var. dodgeana,Yosemite National Park,131
Salix rotundifolia var. dodgeana,Bryce National Park,116
Salix rotundifolia var. dodgeana,Yellowstone National Park,252
Pedicularis bracteosa var. paysoniana,Great Smoky Mountains National Park,115
Pedicularis bracteosa var. paysoniana,Yosemite National Park,133
Pedicularis bracteosa var. paysoniana,Bryce National Park,99
Pedicularis bracteosa var. paysoniana,Yellowstone National Park,207
Ligusticum canadense,Great Smoky Mountains National Park,94
Ligusticum canadense,Yosemite National Park,158
Ligusticum canadense,Bryce National Park,93
Ligusticum canadense,Yellowstone National Park,292
Ratibida columnifera,Great Smoky Mountains National Park,58
Ratibida columnifera,Yosemite National Park,136
